Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-02-05 00:00:00-05:00,16.96169507380512,17.811565650493566,16.604606756461855,17.64016342163086,27565200,0.0,0.0
2004-02-06 00:00:00-05:00,17.64729831256859,17.81155992096742,17.247359907205624,17.747283935546875,5284400,0.0,0.0
2004-02-09 00:00:00-05:00,17.568736699530582,17.640154599719626,17.14023066057947,17.475893020629883,3252900,0.0,0.0
2004-02-10 00:00:00-05:00,17.247363803126223,17.47590008638512,17.175945874061895,17.390199661254883,1651600,0.0,0.0
2004-02-11 00:00:00-05:00,17.340202865974955,17.497321178003684,17.24735917445268,17.318777084350586,2010200,0.0,0.0
2004-02-12 00:00:00-05:00,17.275929166671443,17.854411725155085,17.26164531036728,17.62587547302246,1637500,0.0,0.0
2004-02-13 00:00:00-05:00,17.70443942772735,17.740147714588147,17.34020918057516,17.64016342163086,612000,0.0,0.0
2004-02-17 00:00:00-05:00,17.67587087715163,17.782997094879434,17.497326726877372,17.568744659423828,592300,0.0,0.0
2004-02-18 00:00:00-05:00,17.56874633712218,18.140087127685547,17.390202169798144,18.140087127685547,805700,0.0,0.0
2004-02-19 00:00:00-05:00,18.032959307073916,18.554307902690955,18.032959307073916,18.340055465698242,1494600,0.0,0.0
2004-02-20 00:00:00-05:00,18.347195975533964,18.347195975533964,17.85441377396121,18.1043758392334,742000,0.0,0.0
2004-02-23 00:00:00-05:00,18.132937823496093,18.132937823496093,17.390195097811322,17.533029556274414,1331500,0.0,0.0
2004-02-24 00:00:00-05:00,17.425908013931977,17.832988440377264,17.29021408438898,17.711578369140625,963600,0.0,0.0
2004-02-25 00:00:00-05:00,17.711574297989134,17.854410123853317,17.640157747240433,17.747283935546875,321700,0.0,0.0
2004-02-26 00:00:00-05:00,17.74728566718646,18.047239841021685,17.568741548527008,18.025814056396484,617200,0.0,0.0
2004-02-27 00:00:00-05:00,17.961536056145405,18.39004216544686,17.93296970868977,18.38290023803711,1569100,0.0,0.0
2004-03-01 00:00:00-05:00,18.38290052946742,18.7042804570843,18.35433418155892,18.425750732421875,851700,0.0,0.0
2004-03-02 00:00:00-05:00,18.532879690516523,18.532879690516523,17.925829426796714,18.525737762451172,595600,0.0,0.0
2004-03-03 00:00:00-05:00,18.35433765213218,18.425754216499108,18.104375590296986,18.19721794128418,457000,0.0,0.0
2004-03-04 00:00:00-05:00,18.197216790036293,18.390044770868485,17.675868274912425,18.0043888092041,1060200,0.0,0.0
2004-03-05 00:00:00-05:00,17.868693129418677,18.311481716617863,17.85440927507462,18.24720573425293,450200,0.0,0.0
2004-03-08 00:00:00-05:00,18.24721008121449,18.318628007765067,17.975823594942675,18.19721794128418,370100,0.0,0.0
2004-03-09 00:00:00-05:00,18.21150032043457,18.218642248728138,17.647300244894577,17.854412078857422,816200,0.0,0.0
2004-03-10 00:00:00-05:00,17.711576427013654,17.74728606886388,17.425906103129606,17.604450225830078,1034300,0.0,0.0
2004-03-11 00:00:00-05:00,17.247359972901943,17.604448176739183,17.247359972901943,17.283069610595703,2538500,0.0,0.0
2004-03-12 00:00:00-05:00,17.38305965032665,17.604454028891308,17.318783643294356,17.49732780456543,1501700,0.0,0.0
2004-03-15 00:00:00-05:00,17.675866305828094,17.675866305828094,16.95454796180502,17.140233993530273,1595900,0.0,0.0
2004-03-16 00:00:00-05:00,17.497318966791667,17.533027236136345,17.268782773746143,17.30449104309082,1525800,0.0,0.0
2004-03-17 00:00:00-05:00,17.283069295323045,17.497321668843703,17.18308367378782,17.19022560119629,1051700,0.0,0.0
2004-03-18 00:00:00-05:00,17.19022826719743,17.21165405274573,16.933124289352158,16.997400283813477,1006800,0.0,0.0
2004-03-19 00:00:00-05:00,16.961693625976643,17.02596962658662,16.711731552736033,16.954551696777344,759200,0.0,0.0
2004-03-22 00:00:00-05:00,16.711727780540286,16.961689797359103,16.490333474070322,16.925981521606445,1018700,0.0,0.0
2004-03-23 00:00:00-05:00,16.961689889431,17.140233993530273,16.790287712957706,17.140233993530273,678300,0.0,0.0
2004-03-24 00:00:00-05:00,17.14023612976831,17.17594441016523,16.97597586044876,16.997400283813477,510900,0.0,0.0
2004-03-25 00:00:00-05:00,16.890271425246965,17.183083637458353,16.776003311319755,17.111665725708008,1499800,0.0,0.0
2004-03-26 00:00:00-05:00,17.047394387941573,17.383056866999663,17.047394387941573,17.211654663085938,887500,0.0,0.0
2004-03-29 00:00:00-05:00,17.218795834531853,17.45447402482049,17.218795834531853,17.404481887817383,823900,0.0,0.0
2004-03-30 00:00:00-05:00,17.283069237434432,17.67586570830111,17.26878538266533,17.65443992614746,739300,0.0,0.0
2004-03-31 00:00:00-05:00,17.67586611640985,18.06152203097955,17.568739927534953,17.961536407470703,728500,0.0,0.0
2004-04-01 00:00:00-05:00,18.0329647064209,18.140090956992502,17.697302091380752,18.0329647064209,1568800,0.0,0.0
2004-04-02 00:00:00-05:00,18.111519389552434,18.147227675423505,17.675871218569682,18.011533737182617,1166400,0.0,0.0
2004-04-05 00:00:00-04:00,17.890113789124538,18.232919410424323,17.782987628423435,18.21863555908203,544200,0.0,0.0
2004-04-06 00:00:00-04:00,18.175791460349988,18.568587968659777,18.032955623409975,18.525737762451172,697900,0.0,0.0
2004-04-07 00:00:00-04:00,18.390044889039455,18.46860473999817,18.14008284141191,18.375761032104492,444100,0.0,0.0
2004-04-08 00:00:00-04:00,18.454321527489256,18.75427572268001,18.35433724982021,18.7257080078125,657400,0.0,0.0
2004-04-12 00:00:00-04:00,18.675711395990078,18.747129303870054,18.361473418628172,18.48288345336914,804000,0.0,0.0
2004-04-13 00:00:00-04:00,18.554313458137774,18.68286550369737,17.961546751978435,18.0329647064209,860800,0.0,0.0
2004-04-14 00:00:00-04:00,18.032960615409543,18.175796491890296,17.832990660773262,17.990110397338867,1518700,0.0,0.0
2004-04-15 00:00:00-04:00,18.06867300255004,18.390053116449035,17.9044126608613,18.0329647064209,1406600,0.0,0.0
2004-04-16 00:00:00-04:00,18.068664877212203,18.311484995811757,17.890120752488038,18.240068435668945,272100,0.0,0.0
